group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
Agarivorans,monophyletic,internal_36,9,,,,0,0,
Agathobaculum,monophyletic,internal_41,36,,,,0,0,
Aggregatibacter,monophyletic,internal_43,12,,,,0,0,
Aggregatilinea,monophyletic,internal_44,3,,,,0,0,
Agitococcus,monophyletic,internal_40,9,,,,0,0,
Agreia,monophyletic,internal_54,10,,,,0,0,
Agrilactobacillus,monophyletic,internal_40,4,,,,0,0,
Agrilutibacter,monophyletic,internal_42,6,,,,0,0,
Agriterribacter,monophyletic,internal_46,33,,,,0,0,
Agrobacterium,monophyletic,internal_47,48,,,,0,0,
Agrococcus,monophyletic,internal_47,34,,,,0,0,
Agromyces,monophyletic,internal_52,100,,,,0,0,
Ahniella,monophyletic,internal_32,3,,,,0,0,
Ahrensia,monophyletic,internal_44,5,,,,0,0,
Aidingimonas,monophyletic,internal_47,2,,,,0,0,
Akkermansia,monophyletic,internal_25,154,,,,0,0,
Alangreenwoodia,monophyletic,internal_35,8,,,,0,0,
Albibacterium,monophyletic,internal_56,6,,,,0,0,
Albibeggiatoa,monophyletic,internal_28,4,,,,0,0,
Albidovulum,monophyletic,internal_58,43,,,,0,0,
Albimonas,monophyletic,internal_36,12,,,,0,0,
Albirhodobacter,monophyletic,internal_61,2,,,,0,0,
Albitalea,monophyletic,internal_38,16,,,,0,0,
Alcaligenes,monophyletic,internal_32,14,,,,0,0,
Alcanivorax,monophyletic,internal_40,24,,,,0,0,
Aldehydirespirator,monophyletic,internal_38,39,,,,0,0,
Aldersonia,monophyletic,internal_43,3,,,,0,0,
Alectryobacillus,monophyletic,internal_24,6,,,,0,0,
Alectryocaccobium,monophyletic,internal_42,14,,,,0,0,
Alectryocaccomicrobium,monophyletic,internal_35,3,,,,0,0,
Alg239-R122,monophyletic,internal_59,4,,,,0,0,
Algibacter,monophyletic,internal_75,6,,,,0,0,
Algibacter_B,monophyletic,internal_76,16,,,,0,0,
